Table 1
ID;Name;Ethnologuenamn;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;Lat;Lon;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;34x;35;36;37;38;39;40;41;42;43;44
148;Tunica;Tunica;0;2;;;0;0;0;4;;0;6;0;-6;6;0;33;-91;N;N;S/A;S;N;Y;Y;2;Y;Y;;Y;;Y;;N;;3;;;;n/a;;Y;;;
149;Yuchi;Yuchi;0;2;;-;;;0;3;;0;5;0;-5;5;0;36;-85;N;N;S/A;S;Y;Y;Y;5;;Y;;Y;Y;Y;;N;;3;;;;n/a;;;;;
150;Chichimec;Chichimec;0;1;;NP;;;0;4;;0;5;0;-5;5;0;21;-100;N;N;A;A;Y;;N;5;Y;;;;;;;N;;3;;;;n/a;;;;;
151;Chontal;Chontal languages;0;2;;;;;0;2;;0;4;0;-4;4;0;16;-96;N;N;S/E;S;N;Y;N;;;;;;;;;N;;1;;;;n/a;Y;Y;Y;;
152;Huave;Huave languages;;;;;;;;4;;0;4;0;-4;4;0;16;-95;;;E;E?;Y;Y;;;;;;;;;;;;;;;;n/a;;Y;;;
153;Miskito;Mískito;0;2;;;0;0;4;2;;4;4;0;0;8;0,5;13;-84;A;N;A;A;Y;;N;;;;;;;;;N;;3;Y;Y;Y;Y;;;;;
154;Mixe;Mixe languages;0;2;;;;;0;4;;0;6;0;-6;6;0;17;-96;N;N;H;H;Y;-;N;;;;;;;;;;;;;;;n/a;Y;Y;;;Y
155;Mixtec;Mixteco languages;0;1;;;0;1;0;1;;0;2;0;-2;2;0;17;-98;N;N;A;A;Y;-;N;;;;;;;;;N;;1;;;;n/a;;Y;;;
156;Pipil;Pipil;1;2;;;0;2;0;4;;1;6;0;-5;7;0,14;14;-90;N;N;A;A;N;;N;;;;;;;;;N;;1;;;;n/a;Y;Y;Y;Y;
157;Tarascan;Purépecha;3;2;;;;;4;;4;7;2;4;1;13;0,54;19;-102;A;A;A;A;N;?;;;;;;;;;;Y;10;1;;;;n/a;Y;Y;;;
158;Tepehua;Tepehua languages;1;2;;;0;2;0;4;;1;6;0;-5;7;0,14;20;-98;N;N;H/A;H;Y;N;N;;;;;;;;;Y;;1.5;;;;n/a;Y;Y;Y;Y;
159;Tzutujil;Tzutujil languages;0;2;;NP?;0;2;0;4;;0;6;0;-6;6;0;14;-91;N;N;E;E;N;Y;N;;;;;;;Y;;;;1;;;;n/a;Y;Y;;;
160;Axininca Campa;Ashéninca Pichis;0;2;0;NP?;;;0;4;;0;6;0;-6;6;0;-12;-75;N;N;S;S;Y;Y;Y;2;;;;;;;;Y;;2;;;;n/a;Y;Y;;;Y
161;Kanela-Craho;Canela+Krahô;2;1;;;;1;2;2;;4;3;0;1;7;0,57;-5;-45;;;E;E?;Y;Y;-;;;;;;;;;N;;3;Y;Y;Y;Y;;Y;;;
162;Cashinahua;Cashinahua;2;0;;NP?;;;5;2;;7;2;0;5;9;0,78;-10;-71;A;E;A/N;A;N;;N;;;;;;;;;;;3;N;;N;;;Y;;;Y
163;Cayuvava;Cayubaba;0;2;;F;;;2;4;;2;6;0;-4;8;0,25;-14;-67;N;N;A?;A?;Y;;N;;;;;;;;;N;;1;;;;;;;;;
164;Guarani;Guaraní languages;0;1;;;0;1;4;2;;4;3;0;1;7;0,57;-25;-57;A;N;S/A;S;Y;;N;;;;;;;;;N;;2;N;Y;N;Y;Y;Y;Y;;
165;Gününa-küne;Tehuelche;0;2;;;;;0;2;;0;4;0;-4;4;0;-40;-65;;;;;?;-;-;;;;;;;;;;;;;;;n/a;;;;;
166;Hixkaryana;Hixkaryána;0;2;;;0;1;2;4;;2;6;0;-4;8;0,25;-1;-58;N;N;A?;A?;Y;Y;N;;;;;;;;;N;;2;Y;;;Y;Y;Y;;;
167;Jaqaru;Jaqaru;2;2;;;;;2;4;;4;6;0;-2;10;0,4;-12;-83;N7;N?;A?;A?;Y;-;-;;;;;;;;;N;;;Y;Y;Y;Y;;Y;;;
168;Jivaro;Shuar;2;2;;;;;4;4;;6;6;0;0;12;0,5;-4;-79;A;A;A;A;N;N;N;;;;;;;;;N;;3;;;;n/a;Y;Y;;;
169;Mapuche;Mapudungun;0;2;;;;;2;4;;2;6;0;-4;8;0,25;-38;-75;N;N;A?;A?;N;-;-;;;;;;;;;N;;;N;;N;;;;;;
170;Nambiquara;Nambikuára;;;;;;;;;;;;;;;;-13;-59;;;S?;S?;Y;Y;;;;;;;;;;;;;;;;n/a;;;;;
171;Piraha;Múra-Pirahã;0;2;;;0;0;0;2;;0;4;0;-4;4;0;-8;-62;;;A?;A?;N;N;-;;;;;;;;;N;;3;;;;n/a;;;;;
172;Huallaga Quechua;Huallaga Huánuco Quechua;2;2;;NP;2;2;4;4;;6;6;0;0;12;0,5;-10;-76;A;A;A;A;Y;;N;;;;;;;;;N;;3;N;N;Y;Y;Y;Y;;;Y
173;Waorani;Waorani;;;;;;;;;;;;;;;;-1;-77;;;;;Y;Y;;;;;;;;;;Y;50;;;;;n/a;;;;;
174;Yagua;Yagua;1;2;;;;;1;2;4;2;4;4;-6;10;0,2;-4;-74;N?;N?;S;S;Y;;Y;;;;;;;;Y;Y;;;N;N;Y;Y;;;;;
