ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
17-34,17,34,N,,,
17-35,17,35,3,,,
17-39,17,39,n/a,,,
17-40,17,40,Y,,,
17-41,17,41,Y,,,
17-44,17,44,Y,,,
18-2,18,2,1,,,
18-3,18,3,0,,,
18-6,18,6,0,,,
18-8,18,8,2,,,
18-9,18,9,0,,,
18-11,18,11,3,,,
18-12,18,12,0,,,
18-13,18,13,0,,,
18-14,18,14,3,,,
18-15,18,15,3,,,
18-16,18,16,1,,,
18-19,18,19,N,,,
18-20,18,20,N,,,
18-21,18,21,N,,,
18-22,18,22,N,,,
18-23,18,23,N,,,
18-25,18,25,N,,,
18-34,18,34,N,,,
18-35,18,35,2,,,
18-39,18,39,n/a,,,
19-3,19,3,2,,,
19-6,19,6,1,,,
19-8,19,8,4,,,
19-9,19,9,0,,,
19-11,19,11,4,,,
19-12,19,12,2,,,
19-13,19,13,0,,,
19-14,19,14,2,,,
19-15,19,15,6,,,
19-16,19,16,"0,67",,,
19-19,19,19,A,,,
19-20,19,20,N,,,
19-21,19,21,N/A,,,
19-22,19,22,A,,,
19-23,19,23,N,,,
19-34,19,34,N,,,
19-35,19,35,2,,,
19-39,19,39,n/a,,,
19-41,19,41,Y,,,
20-2,20,2,3,,,
20-3,20,3,2,,,
20-6,20,6,2,,,
20-7,20,7,1,,,
20-8,20,8,6,,,
20-9,20,9,3,,,
20-11,20,11,9,,,
20-12,20,12,5,,,
20-13,20,13,0,,,
20-14,20,14,4,,,
20-15,20,15,14,,,
20-16,20,16,"0,64",,,
20-19,20,19,A,,,
20-20,20,20,A,,,
20-21,20,21,A,,,
20-22,20,22,A,,,
20-23,20,23,N,,,
20-24,20,24,--,,,
20-25,20,25,Y,,,
20-26,20,26,2,,,
20-27,20,27,Y,,,
20-28,20,28,Y,,,
20-35,20,35,3,,,
20-39,20,39,--,,,
20-40,20,40,Y,,,
20-41,20,41,Y,,,
21-2,21,2,3,,,
21-3,21,3,0,,,
21-8,21,8,0,,,
21-9,21,9,4,,,
21-11,21,11,3,,,
21-12,21,12,4,,,
21-13,21,13,0,,,
21-14,21,14,-1,,,
21-15,21,15,7,,,
21-16,21,16,"0,43",,,
21-19,21,19,N,,,
21-20,21,20,N,,,
21-21,21,21,S?/E,,,
21-22,21,22,S?,,,
21-23,21,23,N,,,
21-24,21,24,?,,,
21-25,21,25,Y,,,
21-26,21,26,2,,,
21-27,21,27,Y,,,
21-29,21,29,Y,,,
21-35,21,35,3,,,
21-39,21,39,n/a,,,
22-2,22,2,3,,,
22-3,22,3,1,,,
22-6,22,6,2,,,
22-7,22,7,1,,,
22-8,22,8,6,,,
22-9,22,9,2,,,
22-10,22,10,1,,,
22-11,22,11,9,,,
22-12,22,12,3,,,
22-13,22,13,1,,,
22-14,22,14,5,,,
22-15,22,15,13,,,
22-16,22,16,"0,69",,,
